Timestamp, DateString, Circumference , Circumference error
1436126770, 05-07-15_22:05:20, 0.87, 0.17
1436135042, 06-07-15_00:20:20, 0.76, 0.17
1436299191, 07-07-15_21:55:20, 0.99, 0.17
1436546895, 10-07-15_18:45:20, 0.85, 0.17
1436612787, 11-07-15_13:05:20, 1.06, 0.17
1436669249, 12-07-15_04:45:20, 0.77, 0.17
1436719793, 12-07-15_18:45:20, 0.90, 0.17
1436730994, 12-07-15_21:55:20, 0.96, 0.17
1436770479, 13-07-15_08:50:20, 0.61, 0.17
1436815669, 13-07-15_21:25:20, 0.96, 0.17
1436824852, 14-07-15_00:00:20, 1.06, 0.17
1437009718, 16-07-15_03:20:20, 1.09, 0.17
1437347948, 20-07-15_01:15:20, 0.94, 0.17
1437355532, 20-07-15_03:25:20, 1.08, 0.17
1437365723, 20-07-15_06:15:20, 1.09, 0.17
1437430783, 21-07-15_00:15:20, 0.89, 0.17
1437440224, 21-07-15_02:55:20, 0.96, 0.17
1437666851, 23-07-15_17:50:20, 1.31, 0.17
1437686021, 23-07-15_23:10:20, 1.04, 0.17
1437718468, 24-07-15_08:10:20, 0.83, 0.17
1439078510, 09-08-15_02:00:20, 0.98, 0.17
1439102427, 09-08-15_08:40:20, 0.90, 0.17
1439152374, 09-08-15_22:30:20, 1.13, 0.17
1439174067, 10-08-15_04:30:20, 0.82, 0.17
1439208967, 10-08-15_14:15:20, 1.29, 0.17
1439311468, 11-08-15_18:40:20, 1.06, 0.17
1439327609, 11-08-15_23:10:20, 1.12, 0.17
1439424430, 13-08-15_02:05:20, 1.17, 0.17
1439435127, 13-08-15_05:05:20, 0.72, 0.17
1439544220, 14-08-15_11:20:20, 0.60, 0.17
1439572150, 14-08-15_19:05:20, 0.90, 0.17
1439630753, 15-08-15_11:25:20, 0.52, 0.17
1439645865, 15-08-15_15:35:20, 1.04, 0.17
1439741276, 16-08-15_18:05:20, 0.99, 0.17
1439822067, 17-08-15_16:30:20, 1.05, 0.17
1439852371, 18-08-15_00:55:20, 0.68, 0.17
1439875950, 18-08-15_07:30:20, 0.80, 0.17
1439924368, 18-08-15_20:55:20, 0.78, 0.17
1439944359, 19-08-15_02:30:20, 0.78, 0.17
1439955219, 19-08-15_05:30:20, 0.91, 0.17
1440039085, 20-08-15_04:50:20, 0.82, 0.17
1440046547, 20-08-15_06:55:20, 0.90, 0.17
1440077151, 20-08-15_15:25:20, 1.04, 0.17
1440099950, 20-08-15_21:45:20, 1.03, 0.17
1440132291, 21-08-15_06:40:20, 0.84, 0.17
1440177313, 21-08-15_19:10:20, 1.20, 0.17
1440188961, 21-08-15_22:25:20, 1.14, 0.17
1440267412, 22-08-15_20:15:20, 0.95, 0.17
1440299172, 23-08-15_05:05:20, 0.73, 0.17
1440340417, 23-08-15_16:30:20, 0.90, 0.17
1440362109, 23-08-15_22:30:20, 0.90, 0.17
1440447018, 24-08-15_22:05:20, 1.07, 0.17
1440499518, 25-08-15_12:40:20, 1.11, 0.17
1440510572, 25-08-15_15:45:20, 1.00, 0.17
1440668484, 27-08-15_11:40:20, 1.19, 0.17
1440708100, 27-08-15_22:40:20, 0.65, 0.17
1440724547, 28-08-15_03:15:20, 1.03, 0.17
1440783732, 28-08-15_19:40:20, 0.60, 0.17
1440849727, 29-08-15_14:00:20, 1.15, 0.17
1440896707, 30-08-15_03:00:20, 1.14, 0.17
1440963593, 30-08-15_21:35:20, 0.89, 0.17
1441477958, 05-09-15_20:30:20, 1.09, 0.17
1441564031, 06-09-15_20:25:20, 0.77, 0.17
1441585288, 07-09-15_02:20:20, 0.74, 0.17
1441701719, 08-09-15_10:40:20, 0.91, 0.17
1441757752, 09-09-15_02:15:20, 1.42, 0.17
1441780445, 09-09-15_08:30:20, 0.64, 0.17
1441833686, 09-09-15_23:20:20, 0.98, 0.17
1441858732, 10-09-15_06:15:20, 0.67, 0.17
1441896131, 10-09-15_16:40:20, 1.29, 0.17
1441987017, 11-09-15_17:55:20, 1.02, 0.17
1442204537, 14-09-15_06:20:20, 0.95, 0.17
1442311506, 15-09-15_12:00:20, 0.57, 0.17
1442404332, 16-09-15_13:50:20, 0.73, 0.17
1442452265, 17-09-15_03:10:20, 0.79, 0.17
1442519150, 17-09-15_21:45:20, 0.49, 0.17
1442589899, 18-09-15_17:20:20, 0.53, 0.17
1442642188, 19-09-15_07:55:20, 0.44, 0.17
1442698595, 19-09-15_23:35:20, 0.14, 0.17
1442860173, 21-09-15_20:25:20, 0.39, 0.17
1443058987, 24-09-15_03:40:20, 0.25, 0.17
1443158310, 25-09-15_07:15:20, 0.06, 0.17
1443258313, 26-09-15_11:00:20, 0.40, 0.17
1443326239, 27-09-15_05:55:20, 0.41, 0.17
1443500599, 29-09-15_06:20:20, 0.66, 0.17
1443637565, 30-09-15_20:25:20, 0.43, 0.17
1443654495, 01-10-15_01:05:20, 0.42, 0.17
1443777958, 02-10-15_11:25:20, 0.60, 0.17
1443895954, 03-10-15_20:10:20, 0.70, 0.17
1443975849, 04-10-15_18:20:20, 0.71, 0.17
1443999686, 05-10-15_01:00:20, 0.52, 0.17
1444138161, 06-10-15_15:25:20, 0.72, 0.17
1444155726, 06-10-15_20:20:20, 0.71, 0.17
1444328671, 08-10-15_20:20:20, 0.68, 0.17
1444387791, 09-10-15_12:45:20, 0.62, 0.17
1444460515, 10-10-15_09:00:20, 0.23, 0.17
1444562588, 11-10-15_13:20:20, 0.63, 0.17
1444574672, 11-10-15_16:40:20, 0.57, 0.17
1444673761, 12-10-15_20:15:20, 0.49, 0.17
1444749862, 13-10-15_17:20:20, 0.84, 0.17
1444790946, 14-10-15_04:45:20, 0.98, 0.17
1444855245, 14-10-15_22:40:20, 0.48, 0.17
1444875238, 15-10-15_04:10:20, 0.73, 0.17
1444907031, 15-10-15_13:00:20, 1.15, 0.17
1444940606, 15-10-15_22:20:20, 0.85, 0.17
1445024794, 16-10-15_21:45:20, 0.95, 0.17
1445047895, 17-10-15_04:10:20, 1.30, 0.17
1445062929, 17-10-15_08:20:20, 1.28, 0.17
1445108012, 17-10-15_20:50:20, 1.06, 0.17
1445143700, 18-10-15_06:45:20, 1.39, 0.17
1445187421, 18-10-15_18:55:20, 0.90, 0.17
1445312249, 20-10-15_05:35:20, 0.63, 0.17
1445335926, 20-10-15_12:10:20, 0.77, 0.17
1445462016, 21-10-15_23:10:20, 0.64, 0.17
1445482517, 22-10-15_04:50:20, 0.42, 0.17
1445561488, 23-10-15_02:50:20, 0.68, 0.17
1445635793, 23-10-15_23:25:20, 0.85, 0.17
1445702203, 24-10-15_17:55:20, 0.63, 0.17
1445817642, 26-10-15_01:00:20, 0.81, 0.17
1445878417, 26-10-15_17:50:20, 0.70, 0.17
1445993849, 28-10-15_01:55:20, 0.79, 0.17
1446059246, 28-10-15_20:05:20, 0.86, 0.17
1446085813, 29-10-15_03:25:20, 0.78, 0.17
1446198402, 30-10-15_10:45:20, 0.71, 0.17
1446310008, 31-10-15_17:45:20, 0.72, 0.17
1446322490, 31-10-15_21:10:20, 0.58, 0.17
1446451907, 02-11-15_09:10:20, 0.78, 0.17
1446488573, 02-11-15_19:20:20, 0.72, 0.17
1446611669, 04-11-15_05:30:20, 0.80, 0.17
1446645900, 04-11-15_15:00:20, 1.04, 0.17
1446686572, 05-11-15_02:20:20, 0.69, 0.17
1446713434, 05-11-15_09:50:20, 0.84, 0.17
1446745882, 05-11-15_18:50:20, 0.63, 0.17
1446818176, 06-11-15_14:55:20, 1.21, 0.17
1446827653, 06-11-15_17:30:20, 1.15, 0.17
1446840048, 06-11-15_21:00:20, 1.13, 0.17
