Timestamp, DateString, Circumference , Circumference error
s, , mm, mm
1430519484, 02-05-15_00:30:20, 0.53, 0.17
1430532167, 02-05-15_04:00:20, 0.57, 0.17
1430598303, 02-05-15_22:20:20, 0.46, 0.17
1430796220, 05-05-15_05:20:20, 0.32, 0.17
1431151953, 09-05-15_08:10:20, -0.53, 0.17
1431323033, 11-05-15_07:40:20, -0.40, 0.17
1431469370, 13-05-15_00:20:20, -0.38, 0.17
1431522731, 13-05-15_15:10:20, -0.57, 0.17
1431595344, 14-05-15_11:20:20, -0.37, 0.17
1431684710, 15-05-15_12:10:20, -0.16, 0.17
1431741780, 16-05-15_04:00:20, -0.23, 0.17
1431822260, 17-05-15_02:20:20, 0.11, 0.17
1431905066, 18-05-15_01:20:20, 0.12, 0.17
1431973284, 18-05-15_20:20:20, 0.00, 0.17
1432102624, 20-05-15_08:15:20, -0.26, 0.17
1432150441, 20-05-15_21:30:20, -0.03, 0.17
1432172980, 21-05-15_03:45:20, 0.08, 0.17
1432190403, 21-05-15_08:35:20, -0.17, 0.17
1432244296, 21-05-15_23:35:20, -0.03, 0.17
1432271733, 22-05-15_07:15:20, 0.14, 0.17
1432316098, 22-05-15_19:30:20, 0.22, 0.17
1432415059, 23-05-15_23:00:20, 0.39, 0.17
1432452214, 24-05-15_09:20:20, 0.20, 0.17
1432466392, 24-05-15_13:15:20, 0.10, 0.17
1432496057, 24-05-15_21:30:20, 0.48, 0.17
1432512194, 25-05-15_02:00:20, 0.13, 0.17
1432600242, 26-05-15_02:30:20, 0.20, 0.17
1432605508, 26-05-15_03:55:20, 0.17, 0.17
1432678190, 27-05-15_00:05:20, 0.50, 0.17
1432691552, 27-05-15_03:50:20, 0.33, 0.17
1432700366, 27-05-15_06:15:20, 0.26, 0.17
1432783590, 28-05-15_05:25:20, 0.06, 0.17
1432795009, 28-05-15_08:35:20, 0.35, 0.17
1432811192, 28-05-15_13:05:20, 0.35, 0.17
1432817018, 28-05-15_14:40:20, 0.31, 0.17
1432869675, 29-05-15_05:20:20, 0.30, 0.17
1432942438, 30-05-15_01:30:20, 0.54, 0.17
1433021171, 30-05-15_23:25:20, 0.38, 0.17
1433124718, 01-06-15_04:10:20, 0.37, 0.17
1433180162, 01-06-15_19:35:20, 0.36, 0.17
1433209757, 02-06-15_03:45:20, 0.60, 0.17
1433219385, 02-06-15_06:25:20, 0.20, 0.17
1433291293, 03-06-15_02:25:20, 0.52, 0.17
1433301826, 03-06-15_05:20:20, 0.38, 0.17
1433313918, 03-06-15_08:40:20, 0.01, 0.17
1433318795, 03-06-15_10:05:20, -0.06, 0.17
1433352697, 03-06-15_19:30:20, 0.48, 0.17
1433436709, 04-06-15_18:50:20, 0.59, 0.17
1433584133, 06-06-15_11:45:20, 0.09, 0.17
1433649453, 07-06-15_05:55:20, 0.51, 0.17
1433661351, 07-06-15_09:15:20, 0.33, 0.17
1433696178, 07-06-15_18:55:20, 0.59, 0.17
1433702473, 07-06-15_20:40:20, 0.62, 0.17
1433792566, 08-06-15_21:40:20, 0.65, 0.17
1433821710, 09-06-15_05:45:20, 0.37, 0.17
1433843362, 09-06-15_11:45:20, 0.39, 0.17
1433853777, 09-06-15_14:40:20, 0.24, 0.17
1433863560, 09-06-15_17:25:20, 0.37, 0.17
1433873085, 09-06-15_20:00:20, 0.55, 0.17
1433906041, 10-06-15_05:10:20, 0.47, 0.17
1433932169, 10-06-15_12:25:20, 0.41, 0.17
1433963431, 10-06-15_21:10:20, 0.56, 0.17
1433988962, 11-06-15_04:15:20, 0.26, 0.17
1434137737, 12-06-15_21:35:20, 0.56, 0.17
1435657108, 30-06-15_11:35:20, 0.55, 0.17
1435928186, 03-07-15_14:55:20, 0.88, 0.17
1435966549, 04-07-15_01:35:20, 0.78, 0.17
1435995352, 04-07-15_09:35:20, 0.37, 0.17
1436003167, 04-07-15_11:45:20, 0.40, 0.17
1436044380, 04-07-15_23:10:20, 0.69, 0.17
1436069197, 05-07-15_06:05:20, 0.73, 0.17
